N.1,N.2,N.3,N.4,N.5,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,TT_N,M.1,M.2,M.3,M.4,M.5
0,1,1,1,0,1,1,0,0,0,0,0,1,5,NA,1185.44,2095.98,3021.57,NA
2,0,0,3,2,1,1,0,0,0,0,0,1,5,3845.54,NA,NA,6691.87,10318
1,1,1,0,0,1,0,0,0,1,0,0,1,5,2573.05,3220.04,113297.85,NA,NA
0,1,1,1,0,1,0,0,0,0,1,1,0,5,NA,3372.37,31180.59,3991.38,NA
1,1,1,0,0,1,0,0,0,0,1,0,1,5,5558.73,5415.92,887.54,NA,NA
1,1,1,0,0,1,0,0,0,0,0,1,0,5,14788,3700,1070.09,NA,NA
0,1,1,0,NA,1,0,0,1,0,0,0,1,4,NA,2782.6,956.23,NA,NA
0,1,1,0,NA,1,1,0,0,0,0,0,1,4,NA,1690.45,1214.6,NA,NA
0,0,1,NA,NA,1,0,0,1,0,0,1,0,3,NA,NA,3500,NA,NA
NA,NA,0,0,1,1,0,0,1,0,0,1,0,3,NA,NA,NA,NA,4479.44
1,0,0,NA,NA,1,0,0,1,0,0,0,0,3,8626.61,NA,NA,NA,NA
NA,NA,1,0,0,1,1,0,0,0,0,1,0,3,NA,NA,23019.36,NA,NA
NA,NA,0,0,1,1,0,0,0,0,1,1,0,3,NA,NA,NA,NA,27217.65
0,0,0,2,3,1,0,1,0,0,0,0,1,5,NA,NA,NA,19813.01,24429.82667
1,0,0,1,0,1,0,1,0,0,0,0,1,5,1515.96,NA,NA,3670.42,NA
1,0,0,0,1,1,0,0,1,0,0,1,0,5,25021.05,NA,NA,NA,6840.05
0,1,0,1,0,1,0,0,1,0,0,1,0,5,NA,8455.66,NA,6665.23,NA
0,0,1,1,0,1,0,0,1,0,0,1,0,5,NA,NA,4863.06,2463.01,NA
0,2,1,0,0,1,0,0,1,0,0,1,0,5,NA,894.68,2337.96,NA,NA
0,1,2,0,0,1,0,0,1,0,0,1,0,5,NA,1020,24307.425,NA,NA
0,0,2,0,3,1,0,0,1,0,0,1,0,5,NA,NA,1648.52,NA,1448.456667
0,0,1,0,1,1,0,0,1,0,0,0,1,5,NA,NA,4900,NA,1626.55
